               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078171,            0.016453,             0.10029,           0.0041214,             0.76946,            0.015111,            0.010455,            0.046946,            0.011915,            0.094981,            0.070016,           0.0033316,           0.0033316
                   1,            0.052487,            0.013259,            0.094918,             0.70705,            0.022505,            0.029741,            0.020433,            0.043309,            0.010661,            0.092323,            0.039356,           0.0060051,           0.0060051
                   2,            0.049831,            0.012451,            0.090601,             0.44193,            0.079498,            0.056477,            0.038693,            0.042434,            0.010151,            0.083818,           0.0080358,           0.0080186,           0.0080186
                   3,            0.047307,            0.012199,            0.080301,             0.34952,             0.17027,            0.089333,            0.061982,            0.040033,           0.0095947,            0.073751,             0.00703,             0.00703,             0.00703
                   4,            0.045311,            0.011695,            0.072454,              0.5306,             0.20606,             0.10355,            0.071229,            0.038661,           0.0093147,            0.068097,             0.00703,             0.00703,             0.00703
                   5,            0.042642,             0.01132,            0.068607,             0.50965,             0.23568,             0.12973,            0.092103,            0.036957,           0.0089129,            0.064937,             0.00604,             0.00604,             0.00604
                   6,            0.039922,            0.010928,             0.06609,             0.58422,             0.19543,             0.15248,             0.11158,            0.035357,           0.0086906,            0.062442,             0.00505,             0.00505,             0.00505
                   7,            0.038126,            0.010723,            0.063331,             0.61602,             0.22103,             0.17529,             0.12944,            0.034379,           0.0083858,            0.059962,             0.00406,             0.00406,             0.00406
                   8,            0.036312,            0.010318,            0.061477,             0.58708,             0.25253,              0.1845,              0.1386,            0.033235,           0.0081716,            0.058458,             0.00307,             0.00307,             0.00307
                   9,            0.034354,            0.009936,            0.059453,             0.60403,             0.26102,             0.21129,             0.16281,            0.032275,           0.0078264,            0.056944,             0.00208,             0.00208,             0.00208
